t,date,version,fit_id,a,c,fallback_reason,rank_ic,pearson_ic,valid_stocks,correct_directions,active_directions,zero_predictions,zero_targets,positive_targets,negative_targets,mse
367,2025-07-11,V5,V5-2025-07-01-L0.1-H60,-6.212691946105443e-05,0.0,unidentifiable_c,0.029831238962314065,0.017544975048365736,98,55,98,0,0,43,55,0.0011114432743711963
368,2025-07-14,V5,V5-2025-07-01-L0.1-H60,-6.212691946105443e-05,0.0,unidentifiable_c,-0.002492843435406027,0.09231874233521126,98,67,98,0,0,31,67,0.0030100669070938523
369,2025-07-15,V5,V5-2025-07-01-L0.1-H60,-6.212691946105443e-05,0.0,unidentifiable_c,-0.04886865711607979,-0.033015282153914124,98,64,98,0,0,34,64,0.003965316629896743
370,2025-07-16,V5,V5-2025-07-01-L0.1-H60,-6.212691946105443e-05,0.0,unidentifiable_c,-0.043908472479901046,-0.02110313517295329,98,70,98,0,0,28,70,0.006480799036527906
371,2025-07-17,V5,V5-2025-07-01-L0.1-H60,-6.212691946105443e-05,0.0,unidentifiable_c,-0.13433939648961737,-0.08337035052986785,98,66,98,0,0,32,66,0.004345820964906264
372,2025-07-18,V5,V5-2025-07-01-L0.1-H60,-6.212691946105443e-05,0.0,unidentifiable_c,0.14621068671142307,0.06994028004974694,98,69,98,0,0,29,69,0.003678965191252507
373,2025-07-21,V5,V5-2025-07-01-L0.1-H60,-6.212691946105443e-05,0.0,unidentifiable_c,0.0898379970544919,0.05001802351942046,98,62,98,0,0,36,62,0.005299789967305089
374,2025-07-22,V5,V5-2025-07-01-L0.1-H60,-6.212691946105443e-05,0.0,unidentifiable_c,-0.09687661381328537,0.06869613110664227,98,68,98,0,0,30,68,0.005698897463168645
375,2025-07-23,V5,V5-2025-07-01-L0.1-H60,-6.212691946105443e-05,0.0,unidentifiable_c,-0.24814311854076207,0.023995016400927913,98,68,98,0,0,30,68,0.009856504020675037
376,2025-07-24,V5,V5-2025-07-01-L0.1-H60,-6.212691946105443e-05,0.0,unidentifiable_c,-0.06139025432103487,0.13355012027622606,98,69,98,0,0,29,69,0.005272628521347234
377,2025-07-25,V5,V5-2025-07-01-L0.1-H60,-6.212691946105443e-05,0.0,unidentifiable_c,-0.08963397917742542,0.14385317528484598,98,74,98,0,0,24,74,0.008831393811105407
378,2025-07-28,V5,V5-2025-07-01-L0.1-H60,-6.212691946105443e-05,0.0,unidentifiable_c,-0.21546200485817565,0.07652150264534884,98,59,98,0,0,39,59,0.0032072345358716116
379,2025-07-29,V5,V5-2025-07-01-L0.1-H60,-6.212691946105443e-05,0.0,unidentifiable_c,-0.07759692443050321,0.06955586374841541,98,64,98,0,0,34,64,0.002142210979467275
380,2025-07-30,V5,V5-2025-07-01-L0.1-H60,-6.212691946105443e-05,0.0,unidentifiable_c,-0.1662299408985712,-0.009526437224796408,98,61,98,0,0,37,61,0.001480051561749645
381,2025-07-31,V5,V5-2025-07-01-L0.1-H60,-6.212691946105443e-05,0.0,unidentifiable_c,0.012642732819463303,0.20443982760923776,98,67,98,0,0,31,67,0.002360983353555362
382,2025-08-01,V5,V5-2025-08-01-L0.1-H60,-5.567927722547224e-06,0.0,unidentifiable_c,0.07276425096749102,0.25662962838247766,98,66,98,0,0,32,66,0.0018895981319588411
383,2025-08-04,V5,V5-2025-08-01-L0.1-H60,-5.567927722547224e-06,0.0,unidentifiable_c,0.09124061995932392,0.30438296710796,98,66,98,0,0,32,66,0.003711488217696584
384,2025-08-05,V5,V5-2025-08-01-L0.1-H60,-5.567927722547224e-06,0.0,unidentifiable_c,-0.01067552902875746,0.3134043619735711,96,63,96,0,0,33,63,0.004537938386420363
385,2025-08-06,V5,V5-2025-08-01-L0.1-H60,-5.567927722547224e-06,0.0,unidentifiable_c,-0.10577862181226261,0.19803094059492815,96,62,96,0,0,34,62,0.0044406772501686415
386,2025-08-07,V5,V5-2025-08-01-L0.1-H60,-5.567927722547224e-06,0.0,unidentifiable_c,0.10421866521975041,0.2431965223444877,96,57,96,0,0,39,57,0.004185335148005969
387,2025-08-08,V5,V5-2025-08-01-L0.1-H60,-5.567927722547224e-06,0.0,unidentifiable_c,-0.10480195333695061,0.15347967328084666,96,56,96,0,0,40,56,0.004029994773680362
388,2025-08-11,V5,V5-2025-08-01-L0.1-H60,-5.567927722547224e-06,0.0,unidentifiable_c,0.09728703201302223,0.2260196335706711,96,59,96,0,0,37,59,0.002920708238440308
389,2025-08-12,V5,V5-2025-08-01-L0.1-H60,-5.567927722547224e-06,0.0,unidentifiable_c,0.09553716766142159,0.14473972150072512,96,57,96,0,0,39,57,0.00341070201003976
390,2025-08-13,V5,V5-2025-08-01-L0.1-H60,-5.567927722547224e-06,0.0,unidentifiable_c,0.10008138903960934,-0.01642563150899421,96,57,96,0,0,39,57,0.0035423154164784965
